Country,Date,Cases
France,4/1/20,57125
France,4/10/20,56600
France,4/11/20,58045
France,4/12/20,108792
France,4/13/20,111933
France,4/14/20,129381
France,4/15/20,132588
France,4/16/20,145166
France,4/17/20,147057
France,4/18/20,150861
France,4/19/20,151955
France,4/2/20,59227
France,4/20/20,154402
France,4/21/20,157068
France,4/22/20,158867
France,4/23/20,157158
France,4/24/20,159969
France,4/25/20,161647
France,4/26/20,162280
France,4/27/20,165966
France,4/28/20,169098
France,4/29/20,167643
France,4/3/20,64452
France,4/30/20,168861
France,4/4/20,47376
France,4/5/20,48225
France,4/6/20,50884
France,4/7/20,47395
France,4/8/20,51250
France,4/9/20,55034
France,5/1/20,169387
Italy,4/1/20,110574
Italy,4/10/20,147577
Italy,4/11/20,152271
Italy,4/12/20,156363
Italy,4/13/20,159516
Italy,4/14/20,162488
Italy,4/15/20,165155
Italy,4/16/20,168941
Italy,4/17/20,172434
Italy,4/18/20,175925
Italy,4/19/20,178972
Italy,4/2/20,115242
Italy,4/20/20,181228
Italy,4/21/20,183957
Italy,4/22/20,187327
Italy,4/23/20,189973
Italy,4/24/20,192994
Italy,4/25/20,195351
Italy,4/26/20,197675
Italy,4/27/20,199414
Italy,4/28/20,201505
Italy,4/29/20,203591
Italy,4/3/20,119827
Italy,4/30/20,205463
Italy,4/4/20,124632
Italy,4/5/20,128948
Italy,4/6/20,132547
Italy,4/7/20,135586
Italy,4/8/20,139422
Italy,4/9/20,143626
Italy,5/1/20,207428
US,4/1/20,227903
US,4/10/20,516707
US,4/11/20,545693
US,4/12/20,571551
US,4/13/20,598794
US,4/14/20,627306
US,4/15/20,653669
US,4/16/20,683351
US,4/17/20,716508
US,4/18/20,743857
US,4/19/20,768888
US,4/2/20,260183
US,4/20/20,799531
US,4/21/20,825478
US,4/22/20,855445
US,4/23/20,887523
US,4/24/20,919014
US,4/25/20,949640
US,4/26/20,975537
US,4/27/20,1000230
US,4/28/20,1024834
US,4/29/20,1051643
US,4/3/20,292630
US,4/30/20,1081150
US,4/4/20,324340
US,4/5/20,353117
US,4/6/20,385110
US,4/7/20,415256
US,4/8/20,446500
US,4/9/20,482526
US,5/1/20,1115972
Vietnam,4/1/20,218
Vietnam,4/10/20,257
Vietnam,4/11/20,258
Vietnam,4/12/20,262
Vietnam,4/13/20,265
Vietnam,4/14/20,266
Vietnam,4/15/20,267
Vietnam,4/16/20,268
Vietnam,4/17/20,268
Vietnam,4/18/20,268
Vietnam,4/19/20,268
Vietnam,4/2/20,233
Vietnam,4/20/20,268
Vietnam,4/21/20,268
Vietnam,4/22/20,268
Vietnam,4/23/20,268
Vietnam,4/24/20,270
Vietnam,4/25/20,270
Vietnam,4/26/20,270
Vietnam,4/27/20,270
Vietnam,4/28/20,270
Vietnam,4/29/20,270
Vietnam,4/3/20,237
Vietnam,4/30/20,270
Vietnam,4/4/20,240
Vietnam,4/5/20,241
Vietnam,4/6/20,245
Vietnam,4/7/20,249
Vietnam,4/8/20,251
Vietnam,4/9/20,255
Vietnam,5/1/20,270
